category,total_predicted_orders,average_predicted_orders
Beverages,2660253,299.20740074232367
Rice Bowl,1797689,778.5573841489822
Sandwich,1525114,660.7946273830156
Salad,691219,299.3585967951494
Pizza,458173,198.68733738074587
Other Snacks,335205,159.31796577946767
Extras,289314,291.6471774193548
Starters,252858,127.44858870967742
Desert,169758,80.33980123047799
Seafood,138366,81.53565114908662
Soup,123007,127.46839378238342
Pasta,115269,59.81785158277115
Fish,106635,80.11645379413974
Biryani,45376,33.93866866118175
