center_id,center_type,city_code,region_code,total_predicted_orders,average_predicted_orders,prediction_count
13,TYPE_B,590,56,294602,578.7858546168959,509
43,TYPE_A,590,56,279801,560.7234468937876,499
10,TYPE_B,590,56,259121,510.0807086614173,508
52,TYPE_B,685,56,228300,451.1857707509881,506
137,TYPE_A,590,56,211494,426.3991935483871,496
67,TYPE_B,638,56,205245,411.312625250501,499
174,TYPE_A,700,56,193475,383.87896825396825,504
11,TYPE_A,679,56,184183,389.39323467230446,473
51,TYPE_A,638,56,175469,352.3473895582329,498
108,TYPE_B,579,56,174724,358.77618069815196,487
104,TYPE_A,647,56,169889,359.9343220338983,472
24,TYPE_B,614,85,167774,368.73406593406594,455
27,TYPE_A,713,85,165744,343.86721991701245,482
99,TYPE_A,596,71,156955,335.37393162393164,468
36,TYPE_B,517,56,144319,295.7356557377049,488
80,TYPE_C,604,56,142668,317.04,450
65,TYPE_A,602,34,141110,317.81531531531533,444
89,TYPE_A,703,56,138263,293.552016985138,471
97,TYPE_A,628,77,131348,306.17249417249417,429
132,TYPE_A,522,56,129206,268.61954261954264,481
75,TYPE_B,651,77,128994,299.2900232018562,431
59,TYPE_A,456,56,128150,265.8713692946058,482
146,TYPE_B,526,34,125861,287.35388127853884,438
126,TYPE_A,577,56,120238,264.25934065934064,455
83,TYPE_A,659,77,119613,274.341743119266,436
157,TYPE_A,609,93,118896,288.58252427184465,412
86,TYPE_C,699,85,116174,268.9212962962963,432
109,TYPE_A,599,56,115355,263.3675799086758,438
30,TYPE_A,604,56,112417,235.67505241090146,477
124,TYPE_C,590,56,108741,248.83524027459956,437
72,TYPE_C,638,56,108709,247.62870159453303,439
153,TYPE_A,590,56,108208,231.2136752136752,468
66,TYPE_A,648,34,108119,247.97935779816513,436
23,TYPE_A,698,23,106851,237.97550111358575,449
20,TYPE_A,522,56,101726,207.60408163265305,490
145,TYPE_A,620,77,101690,251.08641975308643,405
50,TYPE_A,556,77,100367,240.6882494004796,417
101,TYPE_C,699,85,99271,231.94158878504672,428
61,TYPE_A,473,77,99143,237.18421052631578,418
110,TYPE_A,485,77,97674,230.9078014184397,423
53,TYPE_A,590,56,94260,202.27467811158797,466
64,TYPE_A,553,77,89751,233.7265625,384
113,TYPE_C,680,77,89589,248.85833333333332,360
14,TYPE_C,654,56,89378,207.3735498839907,431
129,TYPE_A,593,77,88602,215.05339805825244,412
17,TYPE_A,517,56,87847,198.74886877828055,442
76,TYPE_A,614,85,87312,197.98639455782313,441
32,TYPE_A,526,34,86835,202.4125874125874,429
34,TYPE_B,615,34,86420,202.8638497652582,426
106,TYPE_A,675,34,86394,210.7170731707317,410
177,TYPE_A,683,56,85313,226.8962765957447,376
42,TYPE_B,561,77,85274,199.70491803278688,427
143,TYPE_B,562,77,84597,197.1958041958042,429
68,TYPE_B,676,34,83471,196.40235294117647,425
93,TYPE_A,461,34,82709,200.75,412
152,TYPE_B,576,34,81724,190.4988344988345,429
81,TYPE_A,526,34,81181,191.91725768321513,423
39,TYPE_C,526,34,80435,225.94101123595505,356
102,TYPE_A,593,77,79684,234.36470588235295,340
58,TYPE_C,695,77,79588,209.9947229551451,379
73,TYPE_A,576,34,77162,197.34526854219948,391
29,TYPE_C,526,34,75666,201.776,375
88,TYPE_A,526,34,74323,183.5135802469136,405
26,TYPE_C,515,77,69542,199.83333333333334,348
77,TYPE_A,676,34,68661,185.0700808625337,371
94,TYPE_C,632,34,67154,184.99724517906336,363
92,TYPE_C,526,34,67125,204.64939024390245,328
57,TYPE_C,541,77,66809,214.81993569131834,311
149,TYPE_A,478,77,65021,191.8023598820059,339
161,TYPE_B,658,34,64561,165.11764705882354,391
186,TYPE_A,649,34,63565,166.40052356020942,382
139,TYPE_C,693,34,61246,190.797507788162,321
55,TYPE_C,647,56,60793,167.9364640883978,362
162,TYPE_C,526,34,56535,182.3709677419355,310
74,TYPE_A,702,35,55692,150.51891891891893,370
41,TYPE_C,590,56,45124,150.91638795986623,299
91,TYPE_C,590,56,39006,139.30714285714285,280
