center_id,center_type,average_predicted_orders,total_predicted_orders,potential_waste_risk
91,TYPE_C,139.30714285714285,39006,Medium Risk
74,TYPE_A,150.51891891891893,55692,Medium Risk
41,TYPE_C,150.91638795986623,45124,Medium Risk
161,TYPE_B,165.11764705882354,64561,Medium Risk
186,TYPE_A,166.40052356020942,63565,Medium Risk
55,TYPE_C,167.9364640883978,60793,Medium Risk
162,TYPE_C,182.3709677419355,56535,Medium Risk
88,TYPE_A,183.5135802469136,74323,Medium Risk
94,TYPE_C,184.99724517906336,67154,Medium Risk
77,TYPE_A,185.0700808625337,68661,Medium Risk
152,TYPE_B,190.4988344988345,81724,Medium Risk
139,TYPE_C,190.797507788162,61246,Medium Risk
149,TYPE_A,191.8023598820059,65021,Medium Risk
81,TYPE_A,191.91725768321513,81181,Medium Risk
68,TYPE_B,196.40235294117647,83471,Medium Risk
143,TYPE_B,197.1958041958042,84597,Medium Risk
73,TYPE_A,197.34526854219948,77162,Medium Risk
76,TYPE_A,197.98639455782313,87312,Medium Risk
17,TYPE_A,198.74886877828055,87847,Medium Risk
42,TYPE_B,199.70491803278688,85274,Medium Risk
26,TYPE_C,199.83333333333334,69542,Medium Risk
93,TYPE_A,200.75,82709,Medium Risk
29,TYPE_C,201.776,75666,Medium Risk
53,TYPE_A,202.27467811158797,94260,Medium Risk
32,TYPE_A,202.4125874125874,86835,Medium Risk
34,TYPE_B,202.8638497652582,86420,Medium Risk
92,TYPE_C,204.64939024390245,67125,Medium Risk
14,TYPE_C,207.3735498839907,89378,Medium Risk
20,TYPE_A,207.60408163265305,101726,Medium Risk
58,TYPE_C,209.9947229551451,79588,Medium Risk
106,TYPE_A,210.7170731707317,86394,Medium Risk
57,TYPE_C,214.81993569131834,66809,Medium Risk
129,TYPE_A,215.05339805825244,88602,Medium Risk
39,TYPE_C,225.94101123595505,80435,Medium Risk
177,TYPE_A,226.8962765957447,85313,Medium Risk
110,TYPE_A,230.9078014184397,97674,Medium Risk
153,TYPE_A,231.2136752136752,108208,Medium Risk
101,TYPE_C,231.94158878504672,99271,Medium Risk
64,TYPE_A,233.7265625,89751,Medium Risk
102,TYPE_A,234.36470588235295,79684,Medium Risk
30,TYPE_A,235.67505241090146,112417,Medium Risk
61,TYPE_A,237.18421052631578,99143,Medium Risk
23,TYPE_A,237.97550111358575,106851,Medium Risk
50,TYPE_A,240.6882494004796,100367,Medium Risk
72,TYPE_C,247.62870159453303,108709,Medium Risk
66,TYPE_A,247.97935779816513,108119,Medium Risk
124,TYPE_C,248.83524027459956,108741,Medium Risk
113,TYPE_C,248.85833333333332,89589,Medium Risk
145,TYPE_A,251.08641975308643,101690,Medium Risk
109,TYPE_A,263.3675799086758,115355,Medium Risk
126,TYPE_A,264.25934065934064,120238,Medium Risk
59,TYPE_A,265.8713692946058,128150,Medium Risk
132,TYPE_A,268.61954261954264,129206,Medium Risk
86,TYPE_C,268.9212962962963,116174,Medium Risk
83,TYPE_A,274.341743119266,119613,Medium Risk
146,TYPE_B,287.35388127853884,125861,Medium Risk
157,TYPE_A,288.58252427184465,118896,Medium Risk
89,TYPE_A,293.552016985138,138263,Medium Risk
36,TYPE_B,295.7356557377049,144319,Medium Risk
75,TYPE_B,299.2900232018562,128994,Low Risk
97,TYPE_A,306.17249417249417,131348,Low Risk
80,TYPE_C,317.04,142668,Low Risk
65,TYPE_A,317.81531531531533,141110,Low Risk
99,TYPE_A,335.37393162393164,156955,Low Risk
27,TYPE_A,343.86721991701245,165744,Low Risk
51,TYPE_A,352.3473895582329,175469,Low Risk
108,TYPE_B,358.77618069815196,174724,Low Risk
104,TYPE_A,359.9343220338983,169889,Low Risk
24,TYPE_B,368.73406593406594,167774,Low Risk
174,TYPE_A,383.87896825396825,193475,Low Risk
11,TYPE_A,389.39323467230446,184183,Low Risk
67,TYPE_B,411.312625250501,205245,Low Risk
137,TYPE_A,426.3991935483871,211494,Low Risk
52,TYPE_B,451.1857707509881,228300,Low Risk
10,TYPE_B,510.0807086614173,259121,Low Risk
43,TYPE_A,560.7234468937876,279801,Low Risk
13,TYPE_B,578.7858546168959,294602,Low Risk
