meal_id,category,cuisine,total_predicted_orders,average_predicted_orders,prediction_count
2290,Rice Bowl,Indian,993131,1289.7805194805194,770
1754,Sandwich,Italian,665410,864.1688311688312,770
1885,Beverages,Thai,606375,788.5240572171651,769
1109,Rice Bowl,Indian,567621,738.1287386215864,769
1971,Sandwich,Italian,567241,738.5950520833334,768
2707,Beverages,Italian,397929,520.8494764397906,764
1993,Beverages,Thai,357959,466.7001303780965,767
1062,Beverages,Italian,334963,437.28851174934726,766
2826,Sandwich,Italian,292463,379.82207792207794,770
1778,Beverages,Italian,257308,337.6745406824147,762
2664,Salad,Italian,249082,323.4831168831169,770
2569,Salad,Italian,248668,322.94545454545454,770
1727,Rice Bowl,Indian,236937,307.7103896103896,770
2539,Beverages,Thai,207853,273.13140604467804,761
1962,Pizza,Continental,193617,251.45064935064934,770
2490,Salad,Italian,193469,251.5851755526658,769
2581,Pizza,Continental,150892,196.2184655396619,769
2322,Beverages,Continental,127942,170.13563829787233,752
1525,Other Snacks,Thai,114812,171.874251497006,668
2704,Other Snacks,Thai,114409,158.02348066298342,724
1558,Pizza,Continental,113664,148.19295958279008,767
2640,Starters,Thai,111179,151.2639455782313,735
1803,Extras,Thai,109179,320.17302052785925,341
2760,Other Snacks,Thai,105984,148.85393258426967,712
1311,Extras,Thai,102480,299.64912280701753,342
1230,Beverages,Continental,99507,133.7459677419355,744
1207,Beverages,Continental,98117,129.4419525065963,758
1878,Starters,Thai,82569,116.45839210155148,709
2631,Beverages,Indian,82480,115.03486750348675,717
1543,Desert,Indian,78162,102.84473684210526,760
1198,Extras,Thai,77655,251.3106796116505,309
2304,Desert,Indian,61886,86.55384615384615,715
2577,Starters,Thai,59110,109.46296296296296,540
1248,Beverages,Indian,56563,85.70151515151515,660
1445,Seafood,Continental,51785,86.02159468438538,602
1438,Soup,Thai,46887,143.38532110091742,327
2444,Seafood,Continental,46768,82.33802816901408,568
1571,Fish,Continental,45608,83.83823529411765,544
1216,Pasta,Italian,45214,63.771509167842034,709
2867,Seafood,Continental,39813,75.54648956356736,527
2494,Soup,Thai,38252,125.41639344262295,305
1847,Soup,Thai,37868,113.71771771771772,333
2306,Pasta,Italian,37579,63.47804054054054,592
2956,Fish,Continental,35592,83.54929577464789,426
2139,Beverages,Indian,33257,49.56333830104322,671
2126,Pasta,Italian,32476,51.87859424920128,626
2492,Desert,Indian,29710,46.56739811912226,638
2104,Fish,Continental,25435,70.45706371191136,361
1770,Biryani,Indian,16339,33.61934156378601,486
1902,Biryani,Indian,15088,34.685057471264365,435
1247,Biryani,Indian,13949,33.53125,416
