meal_id,category,cuisine,total_predicted_orders,average_predicted_orders,observations,potential_waste_risk
1247,Biryani,Indian,13949,33.53125,416,High Risk
1770,Biryani,Indian,16339,33.61934156378601,486,High Risk
1902,Biryani,Indian,15088,34.685057471264365,435,High Risk
2492,Desert,Indian,29710,46.56739811912226,638,High Risk
2139,Beverages,Indian,33257,49.56333830104322,671,High Risk
2126,Pasta,Italian,32476,51.87859424920128,626,High Risk
2306,Pasta,Italian,37579,63.47804054054054,592,High Risk
1216,Pasta,Italian,45214,63.771509167842034,709,High Risk
2104,Fish,Continental,25435,70.45706371191136,361,Medium Risk
2867,Seafood,Continental,39813,75.54648956356736,527,Medium Risk
2444,Seafood,Continental,46768,82.33802816901408,568,Medium Risk
2956,Fish,Continental,35592,83.54929577464789,426,Medium Risk
1571,Fish,Continental,45608,83.83823529411765,544,Medium Risk
1248,Beverages,Indian,56563,85.70151515151515,660,Medium Risk
1445,Seafood,Continental,51785,86.02159468438538,602,Medium Risk
2304,Desert,Indian,61886,86.55384615384615,715,Medium Risk
1543,Desert,Indian,78162,102.84473684210526,760,Medium Risk
2577,Starters,Thai,59110,109.46296296296296,540,Medium Risk
1847,Soup,Thai,37868,113.71771771771772,333,Medium Risk
2631,Beverages,Indian,82480,115.03486750348675,717,Medium Risk
1878,Starters,Thai,82569,116.45839210155148,709,Medium Risk
2494,Soup,Thai,38252,125.41639344262295,305,Medium Risk
1207,Beverages,Continental,98117,129.4419525065963,758,Medium Risk
1230,Beverages,Continental,99507,133.7459677419355,744,Medium Risk
1438,Soup,Thai,46887,143.38532110091742,327,Medium Risk
1558,Pizza,Continental,113664,148.19295958279008,767,Medium Risk
2760,Other Snacks,Thai,105984,148.85393258426967,712,Medium Risk
2640,Starters,Thai,111179,151.2639455782313,735,Medium Risk
2704,Other Snacks,Thai,114409,158.02348066298342,724,Medium Risk
2322,Beverages,Continental,127942,170.13563829787233,752,Medium Risk
1525,Other Snacks,Thai,114812,171.874251497006,668,Medium Risk
2581,Pizza,Continental,150892,196.2184655396619,769,Medium Risk
1198,Extras,Thai,77655,251.3106796116505,309,Medium Risk
1962,Pizza,Continental,193617,251.45064935064934,770,Medium Risk
2490,Salad,Italian,193469,251.5851755526658,769,Medium Risk
2539,Beverages,Thai,207853,273.13140604467804,761,Medium Risk
1311,Extras,Thai,102480,299.64912280701753,342,Low Risk
1727,Rice Bowl,Indian,236937,307.7103896103896,770,Low Risk
1803,Extras,Thai,109179,320.17302052785925,341,Low Risk
2569,Salad,Italian,248668,322.94545454545454,770,Low Risk
2664,Salad,Italian,249082,323.4831168831169,770,Low Risk
1778,Beverages,Italian,257308,337.6745406824147,762,Low Risk
2826,Sandwich,Italian,292463,379.82207792207794,770,Low Risk
1062,Beverages,Italian,334963,437.28851174934726,766,Low Risk
1993,Beverages,Thai,357959,466.7001303780965,767,Low Risk
2707,Beverages,Italian,397929,520.8494764397906,764,Low Risk
1109,Rice Bowl,Indian,567621,738.1287386215864,769,Low Risk
1971,Sandwich,Italian,567241,738.5950520833334,768,Low Risk
1885,Beverages,Thai,606375,788.5240572171651,769,Low Risk
1754,Sandwich,Italian,665410,864.1688311688312,770,Low Risk
2290,Rice Bowl,Indian,993131,1289.7805194805194,770,Low Risk
