original_feature,importance
op_area,0.12474509143640887
category_Rice Bowl,0.11420899781294326
total_promotion,0.10959201188573336
checkout_price,0.1038788224490439
base_price,0.09638312320955235
category_Sandwich,0.0718178507052413
meal_id,0.05289971392627331
center_id,0.04940163758553069
city_code,0.03174610560309658
week_of_year,0.0281937496964206
week,0.026248814208633675
cuisine_Italian,0.02327608659090562
price_ratio,0.02209726847794296
discount_percentage,0.021182397810909043
discount_amount,0.020554037598119995
cuisine_Indian,0.019979447034917285
region_code,0.01754207683958755
category_Salad,0.011084698475862012
center_type_TYPE_C,0.010659902072558555
month,0.006970110768333154
category_Extras,0.00533085958070725
center_type_TYPE_B,0.005004751822886114
cuisine_Thai,0.004814236370985391
emailer_for_promotion,0.003986772442562623
center_type_TYPE_A,0.003885019770475704
quarter,0.00333171702414037
cuisine_Continental,0.002141052850179686
category_Beverages,0.0019925966275738194
category_Pasta,0.0019401320120414275
homepage_featured,0.0013549859796446449
category_Soup,0.0013172592802371355
category_Seafood,0.0010572257552534923
category_Pizza,0.0003220324758146079
category_Other Snacks,0.0003195374486867765
category_Fish,0.0002937028823866338
category_Starters,0.0002407659482759821
category_Biryani,0.0001713681042811658
category_Desert,3.403943585308156e-05
