transformed_feature,importance,original_feature
numeric__op_area,0.12474509143640887,op_area
categorical__category_Rice Bowl,0.11420899781294326,category_Rice Bowl
numeric__total_promotion,0.10959201188573336,total_promotion
numeric__checkout_price,0.1038788224490439,checkout_price
numeric__base_price,0.09638312320955235,base_price
categorical__category_Sandwich,0.0718178507052413,category_Sandwich
numeric__meal_id,0.05289971392627331,meal_id
numeric__center_id,0.04940163758553069,center_id
numeric__city_code,0.03174610560309658,city_code
numeric__week_of_year,0.0281937496964206,week_of_year
numeric__week,0.026248814208633675,week
categorical__cuisine_Italian,0.02327608659090562,cuisine_Italian
numeric__price_ratio,0.02209726847794296,price_ratio
numeric__discount_percentage,0.021182397810909043,discount_percentage
numeric__discount_amount,0.020554037598119995,discount_amount
categorical__cuisine_Indian,0.019979447034917285,cuisine_Indian
numeric__region_code,0.01754207683958755,region_code
categorical__category_Salad,0.011084698475862012,category_Salad
categorical__center_type_TYPE_C,0.010659902072558555,center_type_TYPE_C
numeric__month,0.006970110768333154,month
categorical__category_Extras,0.00533085958070725,category_Extras
categorical__center_type_TYPE_B,0.005004751822886114,center_type_TYPE_B
categorical__cuisine_Thai,0.004814236370985391,cuisine_Thai
numeric__emailer_for_promotion,0.003986772442562623,emailer_for_promotion
categorical__center_type_TYPE_A,0.003885019770475704,center_type_TYPE_A
numeric__quarter,0.00333171702414037,quarter
categorical__cuisine_Continental,0.002141052850179686,cuisine_Continental
categorical__category_Beverages,0.0019925966275738194,category_Beverages
categorical__category_Pasta,0.0019401320120414275,category_Pasta
numeric__homepage_featured,0.0013549859796446449,homepage_featured
categorical__category_Soup,0.0013172592802371355,category_Soup
categorical__category_Seafood,0.0010572257552534923,category_Seafood
categorical__category_Pizza,0.0003220324758146079,category_Pizza
categorical__category_Other Snacks,0.0003195374486867765,category_Other Snacks
categorical__category_Fish,0.0002937028823866338,category_Fish
categorical__category_Starters,0.0002407659482759821,category_Starters
categorical__category_Biryani,0.0001713681042811658,category_Biryani
categorical__category_Desert,3.403943585308156e-05,category_Desert
